accuracy,precision,recall,f1_macro,train_start,train_end,test_start,test_end,train_rows,test_rows
0.3786,0.3774,0.3654,0.3667,2024-04-23,2024-07-23,2024-07-23,2024-08-23,22907,8186
0.3659,0.4766,0.3833,0.3161,2024-05-23,2024-08-23,2024-08-23,2024-09-23,23552,7811
0.3244,0.3173,0.3282,0.3166,2024-06-23,2024-09-23,2024-09-23,2024-10-23,23552,7811
0.3205,0.3754,0.3387,0.312,2024-07-23,2024-10-23,2024-10-23,2024-11-23,23936,7436
0.4042,0.399,0.3898,0.377,2024-08-23,2024-11-23,2024-11-23,2024-12-23,23186,7436
0.3818,0.4014,0.3885,0.3816,2024-09-23,2024-12-23,2024-12-23,2025-01-23,22811,7936
0.3923,0.3919,0.3949,0.375,2024-10-23,2025-01-23,2025-01-23,2025-02-23,22936,8311
0.3033,0.2801,0.2925,0.2312,2024-11-23,2025-02-23,2025-02-23,2025-03-23,23811,6686
0.3519,0.368,0.3538,0.3509,2024-12-23,2025-03-23,2025-03-23,2025-04-23,23061,6686
0.4451,0.422,0.416,0.4087,2025-01-23,2025-04-23,2025-04-23,2025-05-23,21811,7811
0.3071,0.3807,0.358,0.2793,2025-02-23,2025-05-23,2025-05-23,2025-06-23,21311,7561
0.3745,0.4457,0.3742,0.3048,2025-03-23,2025-06-23,2025-06-23,2025-07-23,22186,8186
0.4426,0.3998,0.3855,0.3759,2025-04-23,2025-07-23,2025-07-23,2025-08-23,23686,8186
0.5047,0.4098,0.4133,0.4096,2025-05-23,2025-08-23,2025-08-23,2025-09-23,24061,7436
0.3827,0.3676,0.3631,0.3493,2025-06-23,2025-09-23,2025-09-23,2025-10-23,23936,7133
0.3782,0.3865,0.3904,0.3752,2025-07-23,2025-10-23,2025-10-23,2025-11-23,22883,7811
0.3829,0.3558,0.351,0.3503,2025-08-23,2025-11-23,2025-11-23,2025-12-23,22508,7561
0.3674,0.3412,0.352,0.3425,2025-09-23,2025-12-23,2025-12-23,2026-01-23,22633,7811
0.4125,0.4149,0.4113,0.4115,2025-10-23,2026-01-23,2026-01-23,2026-02-23,23311,7811
0.3526,0.3855,0.3629,0.3142,2025-11-23,2026-02-23,2026-02-23,2026-03-23,23311,7061
0.4015,0.4008,0.3775,0.3724,2025-12-23,2026-03-23,2026-03-23,2026-04-23,22811,7061
