accuracy,precision,recall,f1_macro,train_start,train_end,test_start,test_end,train_rows,test_rows
0.1616,0.319,0.1952,0.1213,2024-04-23,2024-06-23,2024-06-23,2024-07-23,15420,7431
0.3656,0.2278,0.1945,0.1929,2024-05-23,2024-07-23,2024-07-23,2024-08-23,15306,8190
0.4916,0.3318,0.2106,0.1912,2024-06-23,2024-08-23,2024-08-23,2024-09-23,15681,7815
0.2786,0.1674,0.1599,0.1469,2024-07-23,2024-09-23,2024-09-23,2024-10-23,16065,7815
0.3368,0.2081,0.203,0.1693,2024-08-23,2024-10-23,2024-10-23,2024-11-23,15690,7440
0.4116,0.206,0.2207,0.1943,2024-09-23,2024-11-23,2024-11-23,2024-12-23,15315,7440
0.3229,0.1687,0.1909,0.1591,2024-10-23,2024-12-23,2024-12-23,2025-01-23,14940,7940
0.2273,0.1696,0.1709,0.1621,2024-11-23,2025-01-23,2025-01-23,2025-02-23,15440,8315
0.3717,0.3207,0.2498,0.2293,2024-12-23,2025-02-23,2025-02-23,2025-03-23,16315,6690
0.3617,0.2105,0.2072,0.2053,2025-01-23,2025-03-23,2025-03-23,2025-04-23,15065,6690
0.3661,0.2637,0.1968,0.1682,2025-02-23,2025-04-23,2025-04-23,2025-05-23,13440,7815
0.4291,0.2602,0.2378,0.2163,2025-03-23,2025-05-23,2025-05-23,2025-06-23,14565,7565
0.3422,0.2075,0.1756,0.1411,2025-04-23,2025-06-23,2025-06-23,2025-07-23,15440,8190
0.4713,0.245,0.2192,0.1989,2025-05-23,2025-07-23,2025-07-23,2025-08-23,15815,8190
0.5815,0.2233,0.2164,0.2171,2025-06-23,2025-08-23,2025-08-23,2025-09-23,16440,7440
0.4772,0.2614,0.2079,0.2001,2025-07-23,2025-09-23,2025-09-23,2025-10-23,15690,7137
0.2865,0.188,0.2356,0.1752,2025-08-23,2025-10-23,2025-10-23,2025-11-23,14637,7815
0.5466,0.2493,0.211,0.2029,2025-09-23,2025-11-23,2025-11-23,2025-12-23,15012,7565
0.4527,0.2435,0.1986,0.1993,2025-10-23,2025-12-23,2025-12-23,2026-01-23,15440,7815
0.3193,0.1849,0.2104,0.1877,2025-11-23,2026-01-23,2026-01-23,2026-02-23,15440,7815
0.3563,0.2248,0.2326,0.2094,2025-12-23,2026-02-23,2026-02-23,2026-03-23,15690,7065
0.3584,0.256,0.2108,0.2018,2026-01-23,2026-03-23,2026-03-23,2026-04-23,14940,7065
